topic_id,rank,word,weight
0,1,day,0.4987725883386473
0,2,work,0.35290760891574113
0,3,issue,0.26741902229278586
0,4,learn,0.23107184115482002
0,5,good,0.21809643314870847
0,6,experience,0.21439980483515203
0,7,class,0.20292429285653724
0,8,like,0.20233608469189746
0,9,look,0.19412091414920393
0,10,get,0.17974615587568793
0,11,start,0.17853917942643915
0,12,sure,0.16860804562824108
0,13,population,0.15702710685553792
0,14,content,0.15640422791147232
0,15,time,0.15243373529263282
0,16,social,0.1496417129870049
0,17,tomorrow,0.1488781308795193
0,18,stuff,0.14533477006149592
0,19,walk,0.14472361363553768
0,20,pretty,0.1420309431762903
0,21,want,0.1416741318104565
0,22,make,0.14053167410075057
0,23,day go,0.13743890453182753
0,24,short,0.13321139425145137
0,25,nice,0.13229738252432327
0,26,go,0.12813182423770364
0,27,campus,0.12657380807691707
0,28,know,0.1257087968997019
0,29,class work,0.12539875231850703
0,30,task,0.12539875231850703
0,31,great,0.12409044942057498
0,32,energy,0.12268049943411073
0,33,depend,0.12038969342209015
0,34,probably,0.11451210281477885
0,35,cool,0.11169582155985883
0,36,age,0.10899246824386014
0,37,conversation,0.10476421498635648
0,38,llm,0.1047612430638381
0,39,night,0.10463761525512355
0,40,actually,0.10351584552020018
0,41,sweet,0.1033869687223059
0,42,use,0.10219496894438834
0,43,fall,0.09736148242219043
0,44,wake,0.09695231603053961
0,45,job,0.09369286163327915
0,46,far,0.09369208486554767
0,47,play,0.09285565646707722
0,48,term,0.09165447356270022
0,49,sleep,0.09005877991979241
0,50,productive,0.08928784672479927
1,1,like,1.0381724892892572
1,2,song,0.48472795966762805
1,3,like like,0.3956575124155218
1,4,know,0.36008632300065707
1,5,music like,0.324125106191987
1,6,rap,0.29673135453585325
1,7,song like,0.2964397068209295
1,8,music,0.28658125811413454
1,9,abt,0.2812728669172143
1,10,favourite,0.2688363509687252
1,11,idk,0.26786969809261446
1,12,kind music,0.25819205886934066
1,13,like lot,0.20147255321894103
