topic_id,rank,word,weight
0,1,get,0.3256775888899527
0,2,work,0.3208584354152083
0,3,probably,0.3079889205859984
0,4,day,0.2959268225796521
0,5,time,0.2798842083879034
0,6,walk,0.27387653597412054
0,7,lot,0.2712495141166228
0,8,play,0.23974536211369651
0,9,like,0.23846394679909047
0,10,information,0.22870538617524852
0,11,game,0.22277521677319984
0,12,big,0.21062530841985266
0,13,pretty,0.19982544526007323
0,14,yes,0.17545489627882305
0,15,sleep,0.17042740120713773
0,16,conversation,0.15665884876629904
0,17,new,0.15209624985460748
0,18,feel,0.1384045323204857
0,19,try,0.1383238409856662
0,20,meet pretty,0.12957668634613195
0,21,tbh,0.12957668634613195
0,22,idea,0.12957668634613195
0,23,system,0.12957668634613195
0,24,play lot,0.12957668596746919
0,25,video,0.12957668575041933
0,26,video game,0.12957668575041933
0,27,play video,0.12957668575041933
0,28,focus,0.11933312976181439
0,29,software,0.11933312976181439
0,30,pretty interesting,0.11933312976181439
1,1,like,1.2308825602434006
1,2,song,0.5747059660036687
1,3,like like,0.4691177413836684
1,4,know,0.42694217665683026
1,5,music like,0.38430418473348693
1,6,rap,0.35179406481084247
1,7,song like,0.3514785423162249
1,8,music,0.3397770233664897
1,9,abt,0.33348977875092883
1,10,favourite,0.31875017443223336
1,11,idk,0.3176040484790822
1,12,kind music,0.3061295987039939
1,13,like lot,0.2388791976673276
1,14,let,0.23402313079607362
1,15,world,0.2239028441315526
1,16,well,0.22282967559121172
1,17,kind,0.21371068122109677
1,18,listen,0.2096893944587149
1,19,talk,0.20910374380153754
1,20,yeah,0.20475071642449216
1,21,lot,0.2039013869808247
1,22,good,0.1783789698886149
1,23,album,0.17589703240542123
1,24,production,0.17589703240542043
1,25,feel,0.1677653614618309
1,26,hear,0.16199166674693014
1,27,love,0.16057235288754104
1,28,hope,0.15120582719525538
1,29,alright,0.13494214609662847
1,30,ask,0.13494214609662783
2,1,play,1.1262439321847588
2,2,game,0.7183321411537302
2,3,long,0.27868280220816477
2,4,new,0.27868280220816477
2,5,fun,0.27059410795910355
2,6,art,0.2666805288245471
2,7,city,0.24559836378404917
2,8,not,0.23029056715899052
2,9,time,0.22561959923606742
2,10,want,0.22353253506092235
2,11,open,0.20085608608687522
2,12,list,0.1695146186510687
2,13,right,0.16508891323737895
2,14,cuz,0.1561138083897012
2,15,think,0.15184279461491657
2,16,music,0.1478314519355112
2,17,good,0.14274134022435453
2,18,play video,0.13334026494095785
2,19,video game,0.13334026494095785
2,20,video,0.13334026494095785
2,21,mainly,0.13334026441227356
2,22,personality,0.13334026441227356
2,23,start fresh,0.13334026441227356
2,24,fresh,0.13334026441227356
2,25,favorite,0.13334026441227356
2,26,hobby like,0.13334026441227356
2,27,yes,0.13004577834030145
2,28,people,0.13004577804812611
2,29,recently,0.12382561687772324
2,30,free time,0.12279918237891425
3,1,cool,0.7279941249481136
3,2,favourite,0.5198803238252939
3,3,travel,0.4744700224911909
3,4,program,0.43696126485891146
3,5,dream,0.43696126485891146
3,6,summer,0.38409564018247544
3,7,season,0.3639970624740543
3,8,professional,0.23723501124559546
3,9,reason,0.23723501124559546
3,10,oh cool,0.23723501124559546
3,11,topic,0.23723501124559546
3,12,relax,0.23723501124559546
3,13,month,0.23723501124559546
3,14,pick,0.23723501124559546
3,15,go,0.227118447518215
3,16,especially,0.21848063242945573
3,17,hobby,0.2039336060678236
3,18,job,0.2039336060678236
3,19,general,0.20393360606782227
3,20,excited,0.20393360606782227
3,21,super,0.19204782009123905
3,22,oh,0.1920478200912377
3,23,fall,0.1920478200912377
3,24,like,0.1832482978566245
3,25,fun,0.16561500775302077
3,26,usually,0.16561500775301968
3,27,learn,0.15253301690137946
3,28,today,0.1525330169013784
3,29,think,0.10444795593124317
3,30,hey go,0.0
4,1,question,0.9509658420298308
4,2,today,0.5035332328729929
4,3,get,0.4848081809176767
4,4,interesting,0.46758220901576186
4,5,change,0.3914230586649716
4,6,state world,0.3914230586649716
4,7,state,0.3604794028404806
4,8,political,0.3604793634073317
4,9,big,0.36047926661674573
4,10,current,0.36047926661674196
4,11,suppose,0.36047926661674196
4,12,world,0.3364778049939981
4,13,give,0.31686679305172066
4,14,ask,0.3004017382308255
4,15,kind,0.2732543194867037
4,16,hi,0.23375316266508153
4,17,think,0.17237092740426235
4,18,like,0.15120179410444765
4,19,great,0.0
4,20,guy,0.0
4,21,grade,0.0
4,22,grad,0.0
4,23,hey nice,0.0
4,24,hard,0.0
4,25,have,0.0
4,26,health,0.0
4,27,hear,0.0
